course_field,course_code
Engineering and related Studies,450050
Engineering and related Studies,722503
Engineering and related Studies,722556
Engineering and related Studies,722576
Engineering and related Studies,451050
Engineering and related Studies,425450
Engineering and related Studies,755611
Engineering and related Studies,425400
Engineering and related Studies,425402
Engineering and related Studies,482620
Engineering and related Studies,755621
Engineering and related Studies,425700
Engineering and related Studies,722504
Engineering and related Studies,722557
Engineering and related Studies,160343
Engineering and related Studies,755622
Engineering and related Studies,450060
Engineering and related Studies,722505
Engineering and related Studies,722558
Engineering and related Studies,722577
Engineering and related Studies,451060
Engineering and related Studies,425100
Engineering and related Studies,425150
Engineering and related Studies,425470
Engineering and related Studies,755612
Engineering and related Studies,425000
Engineering and related Studies,755624
Engineering and related Studies,722562
Engineering and related Studies,722593
Engineering and related Studies,722580
Engineering and related Studies,429600
Engineering and related Studies,429610
Engineering and related Studies,429620
Engineering and related Studies,429630
Engineering and related Studies,755613
Engineering and related Studies,450070
Engineering and related Studies,722507
Engineering and related Studies,722559
Engineering and related Studies,722578
Engineering and related Studies,451070
Engineering and related Studies,751625
Engineering and related Studies,755614
Engineering and related Studies,425020
Engineering and related Studies,755616
Engineering and related Studies,425300
Engineering and related Studies,755615
Engineering and related Studies,450300
Engineering and related Studies,451300
Engineering and related Studies,425650
Engineering and related Studies,425200
Engineering and related Studies,722509
Engineering and related Studies,722560
Engineering and related Studies,755601
Engineering and related Studies,425750
Engineering and related Studies,425500
Engineering and related Studies,722563
Engineering and related Studies,722594
Engineering and related Studies,722581
Engineering and related Studies,755623
Engineering and related Studies,603066
Engineering and related Studies,425850
Engineering and related Studies,135005
Engineering and related Studies,300585
Engineering and related Studies,300587
Engineering and related Studies,300582
Engineering and related Studies,300583
Engineering and related Studies,300586
Engineering and related Studies,160350
Engineering and related Studies,160345
Engineering and related Studies,751302
Engineering and related Studies,283439
Engineering and related Studies,722494
Engineering and related Studies,722495
Engineering and related Studies,722496
Engineering and related Studies,722497
Engineering and related Studies,751258
Engineering and related Studies,425900
Engineering and related Studies,283443
Engineering and related Studies,751609
Engineering and related Studies,283446
Engineering and related Studies,425401
Engineering and related Studies,283438
Engineering and related Studies,283444
Engineering and related Studies,283440
